"Lebel,Tweet"
"Negatif,pt lib pssi profesional liga tim sdh rugi dgn abal covid tim untung rugi klarifikasi kalah wo persipura"
"Negatif,putus menaker transmigrasi luka buruh sence of crisis menaker transmigrasi mana rakyat alami sulit hidup akibat pandemi covid yg sulit hidup rakyat tambah"
"Positif,rapat baris kuat sama cegah sebar covid patuh prokes gelora vaksinasi poldamalut malukuutara"
"Positif,rapat komite pulih covid ekonomi daerah wilayah provinsi jawa barat unsur forkopimda tni polri gedung balaikota bekas jl ir h juanda bekas timur senin"
"Positif,rapat koordinasi babinsa bhabinkamtibmas ds glonggong perangkat desa rangka bahas cegah covid wilayah ds glonggong kec nogosari"
"Positif,rindu hidup covid"
"Positif,rp triliun bayar kemenkes rumah sakit biaya layan pasien covid kumparannews"
"Negatif,rumah sakit daerah kalisari kabupaten batang jawa pek isolasi pasien konfirmasi covid"
"Positif,sahroni dukung perintah hati ambil putus ubah status covid indonesia pandemi endemi kumparannews"
"Positif,saksi upacara an gubernur nakes pasien covid siar virtual moga spirit upacara ingat ulang republik indonesia kuat bebas pandemi merdeka ri"
"Negatif,salah cek fakta mitos covid varian omicron"
"Positif,salam sehat sobatkriskes update cangkup vaksinasi covid tgl pkl wib covid disiplin m lupa vaksinasi covid mari cipta herd immunity stay safe sayang keluarga"
"Positif,alam sehat sobatkriskes update situasi covid tgl pkl wib covid ayo kendor disiplin m pakai masker cuci tangan dgn sabun minimal detik jaga jarak minimal meter stay safe sayang keluarga"
"Negatif,samaaa gak bohong skrg nang kucing udh umur kucing pertama yg dmn covid yg msh pjj cm yg nemenin skrg ruang rmh keinget kucing yg hilang langsung nang gatau cari dmn"
"Positif,satgas covid idi jamin vaksin booster aman efek samping"
"Positif,satgas covid ketat pintu masuk kota ternate"
"Positif,satgas tangan vaksinasi covid pulau bangka belitung sunti vaksin booster vaksin warga terima vaksin dosis ayodukungkemajuannkri"
"Positif,satpol pp kabupaten grobogan patroli awas ppkm level protkes kendali covid wilayah kota purwodadi senin tanggal februari"
"Negatif,sebar covid varian omicron tanah air tingkat cepat vaksinasi ketat protokol sehat tanah air"
"Negatif,sedih bgt circle gue yg kena covid dkt get well soon moga lekas negatif smuanya"
"Negatif,sekolah klaster covid kendari ptm henti"
"Positif,selamat pagi salam prokes salam sehat salam olahraga salam skj lupa senam skj anti covid omicron hindar covid omicron terima kasih"
"Negatif,selamat pagi wargi bandung banget mitos edar putar covid varian omicron timbul khawatir mimin kasih info nih yuk cek postingan wargi beda mitos fakta omicron"
"Negatif,selamatpagijogja tribun jogja diy masuk puncak covid"
"Negatif,sembuh covid tuh badan lemes g nafsu makan sehat ya anak cantik"
"Negatif,serta tanding basikal tu masalah asik sibuk je nak serta tu yg pergi pulau tioman tu ni kat demik covid nak pergi resort sayang sayang je suka jela"
"Negatif,siasat anjlok okupansi akibat covid hotel solo buka layan cuci mobil"
"Positif,sih pakai masker tular utama covid butir cair droplet salur napas lontar bicara nyanyi batuk bersin guna masker cegah droplet hirup masuk tubuh"
"Positif,sinergitas tni polri disiplin prokes bagi masker gratis rangka cegah sebar covid langkah polsek rancaekek pandemi covid menghimbau protokol sehat bagi masker gratis"
"Negatif,siswa guru konfirmasi covid sma ponorogo lockdown"
"Positif,situasi arus lintas pagi simpang batalyon singaraja pantau arus lintas kendali lancar hati lintas selamat utama patuh protokol sehat covid"
"Positif,sobatrupiah stabilitas makroekonomi global tahan pandemi covid pulih"
"Negatif,sorot dokter gigi papar covid tindak pol gigi puskesmas depok iii tunda"
"Positif,statistik vaksinasi negeri sabah patuh sop fasa penguatkuasaan sop air negeri sabah ronda agen basmi covid abc pantau patuh sop"
"Negatif,status positif covid aplikasi pedulilindungi hilang"
"Negatif,stop covid jaga m nusantara satu indonesia"
"Negatif,sumut catat tinggi covid pemprov buka isolasi pusat"
"Positif,swab tes antigen rutin upaya akbp andi sinjaya mitigasi covid polres situbondo"
"Positif,tangerang februari rujuk data website covid resmi perintah kota tangerang dasar data dinas sehat kota tangerang lengkap kotatangerang updatecorona covid waspadabolehpanikjangan"
"Positif,tekan risiko covid menkes budi gunadi sadikin imbau masyarakat lengkap vaksinasi covid"
"Positif,tekan risiko covid menkes imbau masyarakat lengkap vaksinasi covid ulang terus vaksin vaksin lengkap minimal kali menkes sidangkabinet"
"Negatif,teliti covid ganggu fungsi reproduksi pria hubung covid kondisi testis teliti"
"Positif,tenaga sehat nakes tolong sunti tiga presiden arah percepatvaksinomicron"
"Positif,terampil ajar bidan tekan pandemi covid"
"Positif,terima vaksinasi covid hari februari"
"Negatif,tiga pandemi covid lelah psikologis bikin tangan kendor"
"Negatif,tim satgas lurah kampuri tracing warga papar covid"
"Negatif,tindak persipura udah bagus sih kalo jadi nggak egois paksa main kurang sebar covid paksa main aja aneh"
"Positif,tips cepat sembuh covid varian omicron"
"Positif,transparansi anggar dana ormas gak hutang perintah pusat bangun stadion citra jis dana pen ngemis dubes jaring kali item korupsi dana bansos dana covid dki"
"Negatif,tunda tanding persipura jayapura madura united jadwal tanding wib resmi tunda main ofisial nyata positif covid jaga patuh prokes ya"
"Negatif,udah nungguin chat wa isoman dapet ya salur yg hubung whatsapp email sertifikat id hotline covid ext serta nama lengkap nik kendala ya semangat sembuh juang negatif"
"Positif,upaya antisipasi lonjak covid gelar motogp mandalika ayodukungkemajuannkri"
"Positif,update cakup vaksinasi covid indonesia ayovaksin vaksinasi"
"Positif,update capai vaksinasi covid ri februari tambah"
"Positif,update covid dki senin aktif turun tinggal dunia orang"
"Positif,update data pandemi covid kabupaten bandung senin februari tanda naik turun info lengkap kontak dinkes kab bandung hotline covid"
"Positif,update situasi covid vaksinasi kabupaten deli serdang senin februari call center covid kabupaten deli serdang deliserdangcegahcovid tetapterapkanm ayovaksin"
"Positif,update statistik covid kota bandung tanggal februari halo wargi bandung update data covid data vaksinasi kota bandung wargi bandung jaga sehat patuh protokol sehat ya pandemi"
"Positif,usaha cegah tangan tular virus covid wilayah camat tembuku tni ad disiplinprokes vaksinasicovid bersamarakyattnikuat infobabinsa"
"Negatif,usaha migas global yg rugi akibat pandemi covid saudi aramco shell exxonmobil petronas dgn pertamina"
"Negatif,usaha migas global yg rugi akibat pandemi covid saudi aramco shell exxonmobil petronas dgn pertamina pimpin nicke widyawati pertamina hasil catat kerja uang positif"
"Positif,vaksin bukti ampuh kurang tingkat parah covid nusantara satu indonesia"
"Positif,vaksinasi covid booster aman individu kelompok rentan vaksinyuk"
"Positif,vaksinasi covid lansia kelompok usia rentan inveksi virus corona"
"Positif,aksinasi disiplin prokes kunci cegah tular covid nusantara satu indonesia"
"Positif,varian covid omicron milik ciri khas sakit tenggorok laju tular cepat tembus tahan antibodi orang sudha vaksin"
"Negatif,varian hiv ganas tular temu belanda temu kode merah pandemi covid"
"Negatif,varian omicron dominasi pasien covid dr reisa syukur ringan risiko"
"Negatif,viral beli minyak goreng wajib serta bukti vaksin satgas covid"
"Positif,wakapolsek metro jaring unsur pilar laksana giat himbauan protokol sehat bagi masker gratis masyarakat rangka cegah sebar covid"
"Positif,wakil gubernur jawa inisiasi gedor lakon gera donor plasma konvalesen ajak tokoh masyarakat mang perintah sembuh covid donor plasma konvalesen contoh masyarakat"
"Positif,wali kota batu dewanti rumpoko perintah desa lurah peran aktif tangan covid"
"Negatif,warna hitam pedulilindungi ubah seringkali muncul masyarakat papar covid nyata sembuh"
"Negatif,ya allah selamat virus jahat covid ni"
"Positif,yes pandemi covid salah utama naik harga komoditas tani gak kedelai faktor labour raw material shortage tinggi cost angkut laut faktor naik harga"
"Negatif,yg parah kali sali pergi cepat covid marah bayang anda covid pisah ga sakit ucap selamat tinggal"
